year,file,cluster,value
2001,01022306DN.txt,organizations,Kenyatta University
2001,01030826SS.txt,organizations,Universityof Nairobi
2001,01030827DN.txt,organizations,University
2001,01030827SS.txt,organizations,Oxford University
2001,01030827SS.txt,organizations,University of Nairobi
2001,01031521DN.txt,organizations,John Hopkins University
2001,01032110DN.txt,organizations,Into University
2001,01032307DN.txt,organizations,Daystar University
2001,01032605DN.txt,organizations,Moi University
2001,01032605DN.txt,organizations,~ University of Soutl
2001,01033007DN.txt,organizations,University
2001,01041222DN.txt,organizations,The University of Nairobi
2001,01041222DN.txt,organizations,University
2001,01041222DN.txt,organizations,University Will
2001,01041222DN.txt,organizations,University's Halls of Residence
2001,01041322DN.txt,organizations,University
2001,01042410DN.txt,organizations,University Graduates
2001,01042511DN.txt,organizations,The University of Nairobi
2001,01042511DN.txt,organizations,University
2001,01042511DN.txt,organizations,University of Nairobi
2001,01042511DN.txt,organizations,University of Nairobi Main Campus
2001,01042610DN.txt,organizations,University mit
2001,01042720DN.txt,organizations,University of Nairobi Main Campus A Standard Haile Sela55ie Avenue-Uhuru Highway 2nd Floor Uganda
2001,01042720DN.txt,organizations,University
2001,01042720DN.txt,organizations,University of Nairobi
2001,01042720DN.txt,organizations,Oxford University Press
2001,01050305DN.txt,organizations,Moi University Teaching Rift Valley
2001,01050704DN.txt,organizations,Moi University
2001,01052407DN.txt,organizations,University
2001,01052407DN.txt,organizations,Yale University
2001,01052425DN.txt,organizations,Microbiology Department of the University of
2001,01052807DN.txt,organizations,University of Nairo
2001,01053121DN.txt,organizations,University of Stellen
2001,01053121DN.txt,organizations,University Participants
2001,01060424DN.txt,organizations,University KIBERA Ayany
2001,01061310DN.txt,organizations,ACP Diploma in Programming & System Design â€_Ã„Â¢ University
2001,01061310DN.txt,organizations,British University
2001,01061405DN.txt,organizations,University of Nairobi
2001,01061410DN.txt,organizations,University of Zambia
2001,01062905DN.txt,organizations,Jaga PharmacyÂ¬âˆ‘ Koinange Street Central University of Venezuela
2001,01070409DN.txt,organizations,Addis University
2001,01070410DN.txt,organizations,Maseno University
2001,01071321DN.txt,organizations,Kenyatta University
2001,01071321DN.txt,organizations,Rift Valley University's Agricultural Resources
2001,01071820DN.txt,organizations,University of Agriculture
2001,01071820DN.txt,organizations,University of Nairobi
2001,01072330DN.txt,organizations,Kenyatta University
2001,01072525DN.txt,organizations,University of Botswana
2001,01080121DN.txt,organizations,University of Agriculture
2001,01080121DN.txt,organizations,University of Tokyo's Graduate
2001,01090516DN.txt,organizations,Egerton University
2001,01090520DN.txt,organizations,State University
2001,01090520DN.txt,organizations,â€_Ã„Â¢ Relevant University
2001,01090706DN.txt,organizations,British University â€_Ã„Â¢ 2 year Association of Computer Professionals Advanced Qiploma
2001,01090706DN.txt,organizations,British University
2001,01090736DN.txt,organizations,University
2001,01091606LS.txt,organizations,Makerere University
2001,01091606LS.txt,organizations,University of Southern California
2001,01091936DN.txt,organizations,Kenyatta University
2001,01091936DN.txt,organizations,University of Nairobi
2001,01092205SA.txt,organizations,Nairobi University
2001,01092725DN.txt,organizations,Egerton University
2001,01092729DN.txt,organizations,Thomas Jefferson University
2001,01092729DN.txt,organizations,Recently Egerton University
2001,01092729DN.txt,organizations,Oxford University
2001,01092729DN.txt,organizations,Egerton University
2001,01093007SN.txt,organizations,University of Pretoria
2001,01100426DN.txt,organizations,European Center University of Nairobi
2001,01101125DN.txt,organizations,University of Nairobi Faculty of Medi
